"deposit_timestamp","transaction_hash","origin_chain_id","destination_chain_id","deposit_id","depositor_address","recipient_address","input_token_address","input_token_symbol","output_token_address","output_token_symbol","input_amount","output_amount"
"2025-12-03 06:05:11+01","0xfd4d046b5520e727dfaffdb7bba644c4f97d104b1688f81f977c02b6170d160c",1,"137","3470992","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","993","9.92852625e-10"
"2025-12-03 08:14:23+01","0x1f20dd904fd508e1eb31d9ced0cc48dbc6c2ee67e15ab0f95668389c09c3cd3d",1,"137","3471205","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","993","9.92853289e-10"
"2025-12-03 08:15:47+01","0x6aaeb438e0ffffe39437c8dc759ccf48966889c7a543b7ab912c60cb4cad9260",1,"137","3471207","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","198.6","1.98544684e-10"
"2025-12-03 08:45:59+01","0x7e070a4952c46b2b428473039f742060f2a06033d9662ed100c05ae1b962dfce",1,"137","3471258","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1009.721213","1.009572621e-09"
"2025-12-03 09:05:11+01","0xb143353ec24987a297bcaafbdfb9286db83ccd1d21ea26a90881b7c7f1600d9a",1,"137","3471290","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","6951","6.950137035e-09"
"2025-12-03 09:15:47+01","0x9c3a29fcdab8f5f078e7ab722e85e814970c1a69f20978254c3dc30db05170b0",1,"137","3471309","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","287.97","2.87900066e-10"
"2025-12-03 09:29:59+01","0x3eac1be9e336341f0c17354ed3bd9edcfe9eea271d3abe679f06c2353ab5b4e1",1,"137","3471347","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","993","9.9285085e-10"
"2025-12-03 09:30:47+01","0xf8ef83bc0f5fc9d9c1d94c0eb401039f4eae426e66fd2e37f63237cdfd3e515f",1,"137","3471354","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1587.75735","1.587537955e-09"
"2025-12-03 09:33:59+01","0x2964fff1859541b080a9896c667fe4f6e2e1d5cc2ef8c60d10204db798409780",1,"137","3471365","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","248.593281","2.48513511e-10"
"2025-12-03 09:34:23+01","0x1f2eb5f84a931b59f0b490673ad644371df041fe7f98a41c3e5a11f131c453ba",1,"137","3471367","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","148.95","1.489004e-10"
"2025-12-03 09:37:11+01","0x98b348c4a3796334e762bc07a113f1cdba4d434bccb18605f7de46d4d52263d5",1,"137","3471372","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","4965","4.964369425e-09"
